s_hat,z,rhs,violation
"[[2, 23, 65], [3, 4, 5, 7, 8, 9, 10, 13, 14, 15, 17, 18, 19, 22, 24, 25, 26, 27, 29, 30, 32, 33, 34, 35, 39, 40, 43, 44, 46, 47, 49, 50, 52, 54, 56, 59, 62, 64, 67, 68, 69, 70, 72, 74], [3, 4, 5, 7, 8, 9, 10, 13, 14, 15, 17, 18, 19, 22, 24, 25, 26, 27, 29, 30, 32, 33, 34, 35, 39, 40, 43, 44, 46, 47, 49, 50, 52, 54, 56, 59, 62, 64, 67, 68, 69, 70, 72, 74], [3, 4, 5, 7, 8, 9, 10, 13, 14, 15, 17, 18, 19, 22, 24, 25, 26, 27, 29, 30, 32, 33, 34, 35, 39, 40, 43, 44, 46, 47, 49, 50, 52, 54, 56, 59, 62, 64, 67, 68, 69, 70, 72, 74], [3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 39, 40, 42, 43, 44, 46, 47, 49, 50, 51, 52, 53, 54, 56, 58, 59, 60, 62, 64, 67, 68, 69, 70, 72, 74, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53, 54, 56, 58, 59, 60, 61, 62, 64, 65, 66, 67, 68, 69, 70, 72, 74, 76]]","[0.26666666666666666, 1.4666666666666666, 1.4666666666666666, 1.4666666666666666, 2.2666666666666666, 5.066666666666666]","[2, 8, 8, 8, 10, 12]","[1.7333333333333334, 6.533333333333333, 6.533333333333333, 6.533333333333333, 7.733333333333333, 6.933333333333334]"
"[[5], [3, 22, 24, 25, 26, 30, 39, 42, 49, 52, 54, 55, 63], [3, 8, 14, 18, 22, 24, 25, 26, 29, 30, 37, 39, 40, 42, 46, 47, 48, 49, 52, 54, 55, 56, 63, 71, 73, 75], [3, 7, 8, 14, 18, 22, 24, 25, 26, 29, 30, 33, 37, 39, 40, 41, 42, 45, 46, 47, 48, 49, 52, 54, 55, 56, 61, 63, 66, 67, 68, 71, 73, 75], [2, 3, 4, 5, 6, 7, 10, 11, 16, 19, 22, 24, 25, 26, 27, 28, 30, 31, 32, 33, 35, 36, 39, 41, 42, 45, 49, 52, 53, 54, 55, 58, 59, 60, 62, 63, 65, 66, 67, 68, 69, 72], [2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 18, 19, 22, 24, 25, 26, 28, 29, 30, 31, 32, 33, 35, 36, 37, 39, 40, 41, 42, 45, 46, 47, 48, 49, 50, 52, 54, 55, 56, 58, 59, 60, 61, 63, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[1.9999999999999998, 3.691199782598857, 5.579842082219914, 7.402197160700721, 9.251173815239227, 10.943470668458223, 13.301946042242255]","[2, 4, 6, 8, 10, 12, 14]","[2.220446049250313e-16, 0.30880021740114305, 0.42015791778008627, 0.5978028392992787, 0.7488261847607731, 1.0565293315417765, 0.6980539577577449]"
"[[5], [8, 12, 17, 18, 37, 39, 40, 47, 50, 51, 55], [6, 8, 10, 12, 13, 17, 18, 37, 39, 40, 43, 47, 50, 51, 54, 55, 59, 60, 64], [4, 8, 12, 15, 16, 17, 18, 24, 27, 28, 31, 34, 37, 39, 40, 41, 45, 46, 47, 49, 50, 51, 55, 57, 58, 63, 65, 66, 70, 71, 74], [2, 4, 8, 12, 15, 16, 17, 18, 20, 24, 25, 27, 28, 31, 34, 37, 39, 40, 41, 45, 46, 47, 48, 49, 50, 51, 55, 57, 58, 63, 65, 66, 67, 68, 70, 71, 72, 74], [2, 4, 8, 10, 12, 13, 15, 16, 17, 18, 20, 24, 25, 27, 28, 31, 34, 37, 39, 40, 41, 43, 45, 46, 47, 48, 49, 50, 51, 54, 55, 57, 58, 59, 60, 61, 63, 64, 65, 66, 67, 68, 70, 71, 72, 74], [2, 3, 4, 5, 6, 8, 10, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 26, 27, 28, 30, 31, 34, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 58, 59, 60, 61, 63, 64, 65, 66, 67, 68, 70, 71, 72, 74, 75], [2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 76]]","[2.0, 3.575737175171671, 5.563349939410262, 7.494412279520666, 9.157129392756158, 11.205870472599976, 12.733674431129659, 15.218123064494412]","[2, 4, 6, 8, 10, 12, 14, 16]","[0.0, 0.4242628248283289, 0.4366500605897379, 0.5055877204793342, 0.8428706072438423, 0.794129527400024, 1.2663255688703412, 0.7818769355055881]"
"[[5], [20, 48, 50, 67, 71], [9, 20, 31, 40, 46, 48, 50, 67, 71], [20, 21, 30, 31, 40, 46, 48, 50, 60, 65, 67, 71], [9, 11, 20, 21, 30, 31, 39, 40, 44, 46, 48, 50, 60, 65, 67, 71], [3, 11, 20, 21, 24, 26, 30, 31, 32, 39, 40, 44, 46, 48, 50, 56, 60, 65, 67, 71], [3, 8, 9, 11, 20, 21, 22, 24, 26, 30, 31, 32, 39, 40, 44, 46, 48, 50, 54, 56, 60, 65, 67, 71], [3, 8, 10, 11, 20, 21, 22, 24, 26, 28, 30, 31, 32, 38, 39, 40, 43, 44, 46, 48, 50, 54, 56, 60, 65, 67, 71, 75], [2, 3, 8, 9, 10, 11, 20, 21, 22, 24, 26, 30, 31, 32, 36, 38, 39, 40, 44, 46, 48, 49, 50, 54, 56, 60, 65, 67, 71], [2, 3, 7, 8, 9, 10, 11, 20, 21, 22, 24, 26, 28, 30, 31, 32, 36, 38, 39, 40, 43, 44, 46, 48, 50, 54, 56, 59, 60, 65, 67, 71, 75], [2, 3, 7, 8, 9, 10, 11, 20, 21, 22, 24, 26, 28, 30, 31, 32, 36, 38, 39, 40, 43, 44, 46, 48, 49, 50, 52, 54, 56, 59, 60, 65, 67, 70, 71, 72, 75], [2, 3, 5, 7, 8, 9, 10, 11, 13, 19, 20, 21, 22, 24, 26, 30, 31, 32, 36, 38, 39, 40, 44, 45, 46, 48, 49, 50, 54, 56, 57, 59, 60, 61, 65, 67, 70, 71, 73, 76], [2, 3, 7, 8, 9, 10, 11, 13, 19, 20, 21, 22, 24, 26, 28, 30, 31, 32, 36, 38, 39, 40, 43, 44, 45, 46, 48, 49, 50, 52, 54, 56, 57, 59, 60, 61, 65, 67, 70, 71, 72, 73, 75, 76], [2, 3, 5, 7, 8, 10, 11, 13, 19, 20, 21, 22, 24, 26, 27, 28, 30, 31, 32, 34, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 50, 54, 56, 57, 58, 59, 60, 61, 65, 67, 68, 69, 70, 71, 72, 73, 75, 76], [2, 3, 5, 7, 8, 9, 10, 11, 13, 19, 20, 21, 22, 24, 26, 27, 28, 30, 31, 32, 34, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 54, 56, 57, 58, 59, 60, 61, 65, 67, 68, 69, 70, 71, 72, 73, 75, 76], [2, 3, 5, 7, 8, 9, 10, 11, 13, 19, 20, 21, 22, 24, 26, 27, 28, 30, 31, 32, 34, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 54, 56, 57, 58, 59, 60, 61, 62, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 5, 7, 8, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 63, 65, 67, 68, 69, 70, 71, 72, 73, 75, 76], [2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[2.0, 3.161290885455345, 5.164693462689449, 6.621293153840158, 8.300124761165252, 9.846186059902873, 11.658363796578271, 13.23260541446013, 14.640016053184953, 16.6636596026837, 18.6636596026837, 20.362732182273497, 22.41588218358214, 24.19218454182997, 25.97485582669546, 27.94742581945405, 30.266727156928653, 32.25983475689025, 34.94647484273989]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38]","[0.0, 0.8387091145446548, 0.8353065373105508, 1.378706846159842, 1.699875238834748, 2.153813940097127, 2.3416362034217286, 2.7673945855398703, 3.3599839468150474, 3.336340397316299, 3.336340397316299, 3.637267817726503, 3.5841178164178586, 3.8078154581700296, 4.02514417330454, 4.05257418054595, 3.7332728430713473, 3.7401652431097503, 3.053525157260111]"
"[[2, 10, 31, 37, 38, 57, 65, 71], [2, 10, 17, 31, 37, 38, 57, 65, 71, 73, 75], [2, 3, 10, 21, 27, 31, 34, 37, 38, 39, 47, 57, 58, 60, 64, 65, 66, 71], [2, 3, 4, 6, 8, 10, 16, 20, 21, 27, 31, 34, 37, 38, 39, 40, 47, 50, 57, 58, 60, 64, 65, 66, 70, 71], [2, 3, 4, 6, 8, 9, 10, 13, 16, 17, 20, 21, 27, 31, 34, 35, 36, 37, 38, 39, 40, 42, 47, 50, 51, 53, 57, 58, 59, 60, 64, 65, 66, 70, 71, 73, 75, 76], [2, 3, 4, 5, 6, 8, 9, 10, 14, 16, 17, 20, 21, 24, 27, 29, 31, 32, 34, 36, 37, 38, 39, 40, 42, 46, 47, 48, 50, 56, 57, 58, 60, 63, 64, 65, 66, 68, 69, 70, 71, 73, 75], [2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 20, 21, 24, 27, 28, 29, 31, 32, 34, 35, 36, 37, 38, 39, 40, 42, 45, 46, 47, 48, 50, 51, 53, 56, 57, 58, 59, 60, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76], [2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 20, 21, 24, 27, 28, 29, 31, 32, 34, 35, 36, 37, 38, 39, 40, 42, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[0.1999999999999993, 1.1999999999999882, 2.1999999999999993, 2.600000000000006, 3.399999999999996, 4.899999999999999, 6.199999999999994, 8.3, 10.800000000000008]","[2, 4, 6, 8, 10, 12, 14, 16, 18]","[1.8000000000000007, 2.800000000000012, 3.8000000000000007, 5.399999999999994, 6.600000000000004, 7.100000000000001, 7.800000000000006, 7.699999999999999, 7.199999999999992]"
"[[5], [16, 24, 28, 34, 41, 46, 57, 63, 72, 74], [2, 8, 10, 12, 17, 18, 21, 29, 30, 37, 39, 40, 47, 50, 51, 52, 55, 59, 64, 67], [2, 7, 8, 9, 10, 12, 17, 18, 21, 29, 30, 32, 33, 37, 39, 40, 47, 50, 51, 52, 55, 59, 62, 64, 65, 67, 73, 76], [2, 4, 7, 8, 9, 10, 12, 13, 15, 17, 18, 21, 27, 29, 30, 31, 32, 33, 37, 39, 40, 43, 45, 47, 49, 50, 51, 52, 54, 55, 59, 60, 62, 64, 65, 66, 67, 70, 71, 76], [2, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 21, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 39, 40, 41, 43, 45, 47, 49, 50, 51, 52, 54, 55, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 70, 71, 76], [3, 4, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 28, 31, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 63, 64, 65, 66, 68, 69, 70, 71, 72, 74, 75], [2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 76]]","[2.0, 4.0, 6.0, 7.999999999999999, 9.988481984642641, 11.978932860799361, 13.980311084859219, 15.91366410710769]","[2, 4, 6, 8, 10, 12, 14, 16]","[0.0, 0.0, 0.0, 8.881784197001252e-16, 0.011518015357358635, 0.021067139200638962, 0.019688915140781305, 0.08633589289230947]"
"[[5], [10, 27, 45, 61, 62], [5, 10, 27, 33, 37, 45, 48, 56, 58, 61, 62, 63], [2, 3, 7, 9, 11, 13, 17, 18, 19, 20, 21, 23, 26, 29, 30, 40, 43, 44, 50, 52, 54, 55, 64, 65, 70, 71, 72, 73, 74, 75], [2, 3, 7, 8, 9, 11, 15, 19, 21, 23, 26, 29, 30, 39, 40, 43, 44, 45, 48, 50, 52, 54, 58, 59, 61, 62, 65, 68, 69, 71, 72, 74, 75], [2, 3, 4, 7, 8, 9, 10, 11, 15, 19, 21, 23, 26, 27, 29, 30, 31, 39, 40, 42, 43, 44, 45, 46, 48, 50, 52, 54, 58, 59, 61, 62, 63, 65, 68, 69, 71, 72, 74, 75], [3, 4, 5, 6, 7, 8, 10, 12, 16, 24, 25, 27, 28, 29, 31, 33, 34, 37, 39, 40, 41, 42, 45, 46, 47, 48, 50, 53, 56, 58, 61, 62, 63, 66, 68, 69, 75, 76], [2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 19, 21, 22, 23, 25, 26, 27, 29, 30, 31, 32, 36, 37, 39, 40, 42, 43, 44, 45, 46, 48, 50, 51, 52, 54, 55, 56, 58, 59, 61, 62, 63, 64, 65, 67, 68, 69, 71, 72, 73, 74, 75], [2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 50, 51, 52, 53, 54, 55, 56, 58, 61, 62, 63, 64, 65, 66, 67, 68, 69, 71, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 58, 59, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[2.0000000000000004, 4.0, 6.000000000000002, 7.976776917663617, 9.991555242786777, 11.991555242786768, 14.0, 15.9741965751818, 17.965282664790045, 19.946281961060304, 21.999999999999993]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22]","[-4.440892098500626e-16, 0.0, -1.7763568394002505e-15, 0.023223082336382816, 0.008444757213222687, 0.008444757213231568, 0.0, 0.02580342481819997, 0.03471733520995457, 0.053718038939695845, 7.105427357601002e-15]"
"[[5], [2, 5, 7, 9, 10, 15, 16, 21, 24, 44, 47, 53, 55, 57, 68, 71], [2, 4, 5, 6, 7, 9, 10, 15, 18, 21, 22, 23, 24, 25, 29, 33, 37, 41, 47, 50, 53, 54, 57, 61, 65, 67, 68, 73, 75], [2, 4, 5, 6, 7, 9, 13, 15, 18, 21, 22, 23, 25, 28, 29, 30, 33, 34, 36, 39, 41, 45, 46, 47, 49, 50, 53, 54, 57, 59, 61, 65, 66, 67, 68, 70, 72, 73, 75], [2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15, 16, 18, 19, 21, 22, 23, 24, 25, 28, 29, 30, 32, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 53, 54, 56, 57, 58, 59, 61, 63, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 61, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76]]","[2.0, 3.299578059071728, 5.059540553211441, 6.604781997187052, 8.205344585091412, 8.505391467416775]","[2, 4, 6, 8, 10, 12]","[0.0, 0.7004219409282721, 0.9404594467885588, 1.395218002812948, 1.794655414908588, 3.494608532583225]"
"[[5], [9, 10, 14, 19, 35, 48, 58, 69, 70], [6, 9, 10, 13, 19, 28, 35, 39, 45, 46, 48, 49, 50, 53, 54, 58, 60, 61, 63, 65, 69, 74], [6, 8, 9, 10, 13, 18, 19, 28, 31, 32, 35, 39, 40, 45, 46, 47, 48, 49, 50, 51, 53, 54, 58, 60, 61, 63, 65, 69, 74], [2, 5, 6, 8, 9, 10, 11, 13, 14, 15, 18, 19, 23, 25, 28, 31, 32, 35, 38, 40, 45, 46, 48, 49, 50, 53, 58, 60, 61, 62, 63, 65, 66, 67, 69, 70, 74], [2, 5, 7, 8, 9, 10, 11, 14, 15, 18, 19, 20, 21, 22, 23, 25, 26, 27, 31, 34, 35, 36, 37, 38, 40, 41, 42, 44, 48, 52, 55, 58, 59, 62, 63, 64, 66, 67, 68, 69, 70, 71, 76], [2, 5, 6, 8, 9, 10, 11, 13, 14, 15, 18, 19, 20, 21, 22, 26, 27, 28, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 48, 49, 50, 52, 53, 54, 55, 58, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 74, 76], [2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 65, 66, 67, 68, 69, 70, 71, 73, 74, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 76]]","[2.0, 4.0, 6.0, 7.999999999999995, 9.932203389830487, 11.98305084745763, 13.966101694915261, 15.779661016949058, 18.000000000000004]","[2, 4, 6, 8, 10, 12, 14, 16, 18]","[0.0, 0.0, 0.0, 5.329070518200751e-15, 0.06779661016951266, 0.01694915254237017, 0.03389830508473857, 0.2203389830509419, -3.552713678800501e-15]"
"[[5], [8, 10, 22, 38], [2, 7, 8, 10, 22, 38, 59], [3, 8, 10, 22, 32, 36, 38, 49, 56, 72], [2, 7, 8, 10, 19, 22, 36, 38, 45, 49, 59, 61, 72, 76], [2, 3, 7, 8, 10, 19, 22, 32, 36, 38, 45, 49, 56, 59, 61, 72, 76], [2, 3, 7, 8, 10, 18, 19, 22, 32, 36, 38, 41, 45, 47, 49, 56, 59, 61, 72, 76], [2, 3, 7, 8, 10, 11, 20, 21, 22, 30, 31, 32, 36, 38, 39, 44, 46, 49, 50, 56, 59, 60, 65, 71, 72], [2, 3, 7, 8, 10, 11, 14, 19, 20, 21, 22, 30, 31, 32, 36, 38, 39, 44, 45, 46, 49, 50, 56, 59, 60, 61, 65, 71, 72, 76], [2, 3, 7, 8, 10, 11, 14, 18, 19, 20, 21, 22, 30, 31, 32, 36, 38, 39, 41, 44, 45, 46, 47, 49, 50, 56, 59, 60, 61, 65, 71, 72, 76], [2, 3, 5, 7, 8, 10, 11, 13, 14, 18, 19, 20, 21, 22, 30, 31, 32, 36, 38, 39, 41, 44, 45, 46, 47, 49, 50, 56, 57, 59, 60, 61, 65, 71, 72, 76], [2, 3, 5, 7, 8, 10, 11, 13, 18, 19, 20, 21, 22, 30, 31, 32, 36, 38, 39, 41, 42, 44, 45, 46, 47, 49, 50, 56, 57, 59, 60, 61, 62, 65, 71, 72, 74, 76], [2, 3, 5, 7, 8, 10, 11, 13, 18, 19, 20, 21, 22, 27, 30, 31, 32, 34, 36, 37, 38, 39, 41, 42, 44, 45, 46, 47, 49, 50, 56, 57, 58, 59, 60, 61, 62, 65, 68, 69, 71, 72, 74, 76], [2, 3, 5, 7, 8, 10, 11, 13, 14, 18, 19, 20, 21, 22, 27, 30, 31, 32, 34, 36, 37, 38, 39, 41, 42, 44, 45, 46, 47, 49, 50, 56, 57, 58, 59, 60, 61, 62, 65, 68, 69, 70, 71, 72, 73, 74, 76], [2, 3, 5, 7, 8, 10, 11, 13, 14, 15, 18, 19, 20, 21, 22, 24, 27, 30, 31, 32, 34, 36, 37, 38, 39, 41, 42, 44, 45, 46, 47, 49, 50, 52, 55, 56, 57, 58, 59, 60, 61, 62, 65, 68, 69, 70, 71, 72, 73, 74, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 17, 18, 19, 20, 21, 22, 27, 30, 31, 32, 34, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 56, 57, 58, 59, 60, 61, 62, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 17, 18, 19, 20, 21, 22, 27, 29, 30, 31, 32, 34, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 52, 55, 56, 57, 58, 59, 60, 61, 62, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 30, 31, 32, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 54, 56, 57, 58, 59, 60, 61, 62, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[2.0, 3.012639095507291, 4.466271942874131, 6.280737875632251, 7.720315382326623, 8.915418030348055, 10.46533769711382, 12.39307944064267, 14.032014281463784, 15.581933948229551, 17.63321035406115, 19.4081404343946, 20.988360606962317, 22.682880095209846, 24.784415352573795, 27.170121987503823, 29.57854210056539, 32.01222255281182, 35.003873847069514]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38]","[0.0, 0.987360904492709, 1.5337280571258693, 1.7192621243677486, 2.279684617673377, 3.0845819696519445, 3.534662302886179, 3.606920559357331, 3.967985718536216, 4.418066051770449, 4.3667896459388515, 4.5918595656054, 5.011639393037683, 5.317119904790154, 5.215584647426205, 4.829878012496177, 4.4214578994346105, 3.9877774471881793, 2.9961261529304863]"
